areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nhsRegion,London,E40000003,2021-10-13,97,84614
nhsRegion,London,E40000003,2021-10-12,93,84517
nhsRegion,London,E40000003,2021-10-11,75,84424
nhsRegion,London,E40000003,2021-10-10,58,84349
nhsRegion,London,E40000003,2021-10-09,67,84291
nhsRegion,London,E40000003,2021-10-08,78,84224
nhsRegion,London,E40000003,2021-10-07,84,84146
nhsRegion,London,E40000003,2021-10-06,76,84062
nhsRegion,London,E40000003,2021-10-05,74,83986
nhsRegion,London,E40000003,2021-10-04,87,83912
nhsRegion,London,E40000003,2021-10-03,57,83825
nhsRegion,London,E40000003,2021-10-02,82,83768
nhsRegion,London,E40000003,2021-10-01,70,83686
nhsRegion,London,E40000003,2021-09-30,66,83616
nhsRegion,London,E40000003,2021-09-29,81,83550
nhsRegion,London,E40000003,2021-09-28,73,83469
nhsRegion,London,E40000003,2021-09-27,86,83396
nhsRegion,London,E40000003,2021-09-26,72,83310
nhsRegion,London,E40000003,2021-09-25,81,83238
nhsRegion,London,E40000003,2021-09-24,87,83157
nhsRegion,London,E40000003,2021-09-23,88,83070
nhsRegion,London,E40000003,2021-09-22,80,82982
nhsRegion,London,E40000003,2021-09-21,86,82902
nhsRegion,London,E40000003,2021-09-20,97,82816
nhsRegion,London,E40000003,2021-09-19,70,82719
nhsRegion,London,E40000003,2021-09-18,78,82649
nhsRegion,London,E40000003,2021-09-17,76,82571
nhsRegion,London,E40000003,2021-09-16,103,82495
nhsRegion,London,E40000003,2021-09-15,89,82392
nhsRegion,London,E40000003,2021-09-14,90,82303
nhsRegion,London,E40000003,2021-09-13,98,82213
nhsRegion,London,E40000003,2021-09-12,91,82115
nhsRegion,London,E40000003,2021-09-11,109,82024
nhsRegion,London,E40000003,2021-09-10,101,81915
nhsRegion,London,E40000003,2021-09-09,114,81814
nhsRegion,London,E40000003,2021-09-08,133,81700
nhsRegion,London,E40000003,2021-09-07,123,81567
nhsRegion,London,E40000003,2021-09-06,142,81444
nhsRegion,London,E40000003,2021-09-05,100,81302
nhsRegion,London,E40000003,2021-09-04,88,81202
nhsRegion,London,E40000003,2021-09-03,102,81114
nhsRegion,London,E40000003,2021-09-02,122,81012
nhsRegion,London,E40000003,2021-09-01,124,80890
nhsRegion,London,E40000003,2021-08-31,141,80766
nhsRegion,London,E40000003,2021-08-30,146,80625
nhsRegion,London,E40000003,2021-08-29,118,80479
nhsRegion,London,E40000003,2021-08-28,116,80361
nhsRegion,London,E40000003,2021-08-27,112,80245
nhsRegion,London,E40000003,2021-08-26,115,80133
nhsRegion,London,E40000003,2021-08-25,139,80018
nhsRegion,London,E40000003,2021-08-24,165,79879
nhsRegion,London,E40000003,2021-08-23,147,79714
nhsRegion,London,E40000003,2021-08-22,134,79567
nhsRegion,London,E40000003,2021-08-21,124,79433
nhsRegion,London,E40000003,2021-08-20,120,79309
nhsRegion,London,E40000003,2021-08-19,140,79189
nhsRegion,London,E40000003,2021-08-18,146,79049
nhsRegion,London,E40000003,2021-08-17,111,78903
nhsRegion,London,E40000003,2021-08-16,126,78792
nhsRegion,London,E40000003,2021-08-15,89,78666
nhsRegion,London,E40000003,2021-08-14,129,78577
nhsRegion,London,E40000003,2021-08-13,118,78448
nhsRegion,London,E40000003,2021-08-12,134,78330
nhsRegion,London,E40000003,2021-08-11,121,78196
nhsRegion,London,E40000003,2021-08-10,99,78075
nhsRegion,London,E40000003,2021-08-09,92,77976
nhsRegion,London,E40000003,2021-08-08,112,77884
nhsRegion,London,E40000003,2021-08-07,102,77772
